number,sqrt1 (https://codebase64.org/doku.php?id=base:fast_sqrt),sqrt2 (http://www.6502.org/source/integers/root.htm),sqrt3 (http://www.txbobsc.com/aal/1986/aal8611.html#a1),sqrt5 (http://www.txbobsc.com/aal/1986/aal8609.html#a8),sqrt6 (https://www.bbcelite.com/master/main/subroutine/ll5.html),sqrt7 (http://6502org.wikidot.com/software-math-sqrt),sqrt9 (https://github.com/TobyLobster/sqrt_test/blob/main/sqrt/sqrt9.a),sqrt10 (https://github.com/TobyLobster/sqrt_test/blob/main/sqrt/sqrt10.a),sqrt11 (http://forum.6502.org/viewtopic.php?p=90611#p90611),sqrt12 (https://gitlab.riscosopen.org/RiscOS/Sources/Apps/Diversions/Meteors/-/blob/master/Srce6502/MetSrc2#L961),sqrt13 (https://stardot.org.uk/forums/viewtopic.php?p=367937#p367937),sqrt14 (https://stardot.org.uk/forums/viewtopic.php?p=367937#p367937),sqrt15 (https://stardot.org.uk/forums/viewtopic.php?p=367937#p367937)
339,301,798,128,706,499,489,119,218,304,1059,121,193,119
340,301,798,128,706,499,489,119,218,304,1059,121,193,119
341,301,798,128,706,499,489,119,218,304,1059,121,193,119
342,301,798,128,706,499,489,119,218,304,1059,121,193,119
343,301,798,128,706,499,489,119,218,304,1073,121,193,119
344,301,798,128,706,499,489,119,218,304,1073,121,193,119
345,301,798,128,706,499,489,119,218,304,1073,121,193,119
346,301,798,128,706,499,489,119,218,304,1073,121,193,119
347,301,798,128,706,499,489,119,218,304,1073,121,193,119
348,301,798,128,706,499,489,119,218,304,1073,121,193,119
349,301,798,128,706,499,489,119,218,304,1073,121,193,119
350,301,798,128,706,499,489,119,218,304,1073,121,193,119
351,301,798,128,706,499,489,119,218,304,1073,121,193,119
352,301,798,128,706,499,489,119,218,304,1073,121,193,106
353,301,798,128,706,499,489,119,218,304,1073,121,193,106
354,301,798,128,706,499,489,119,218,304,1073,121,193,106
355,301,798,128,706,499,489,119,218,304,1073,121,193,106
356,301,798,128,706,499,489,119,218,304,1073,121,193,119
357,301,798,128,706,499,489,119,218,304,1073,121,193,119
358,301,798,128,706,499,489,119,218,304,1073,121,193,119
359,301,798,128,706,499,489,119,218,304,1073,121,193,119
360,301,798,128,706,505,489,119,218,304,1073,121,193,119
361,302,820,138,716,517,494,129,219,295,1096,139,194,119
362,302,820,138,716,517,494,129,219,310,1096,139,194,119
363,302,820,138,716,517,494,129,219,310,1096,139,194,119
364,302,820,128,716,514,494,119,219,310,1096,139,194,119
365,302,820,128,716,514,494,119,219,310,1096,139,194,119
366,302,820,128,716,514,494,119,219,310,1096,139,194,119
367,302,820,128,716,514,494,119,219,310,1096,139,194,119
368,302,820,128,716,514,494,119,219,310,1096,139,194,119
369,302,820,128,716,514,494,119,219,310,1096,139,194,119
370,302,820,128,716,514,494,119,219,310,1096,139,194,119
371,302,820,128,716,514,494,119,219,310,1096,139,194,119
372,302,820,128,716,514,494,119,219,310,1096,139,194,119
373,302,820,128,716,514,494,119,219,310,1096,139,194,119
374,302,820,128,716,514,494,119,219,310,1096,139,194,119
375,302,820,128,716,514,494,119,219,310,1096,139,194,119
376,302,820,128,716,514,494,119,219,310,1096,139,194,106
377,302,820,128,716,514,494,119,219,310,1096,139,194,106
378,302,820,128,716,514,494,119,219,310,1096,139,194,106
379,302,820,128,716,514,494,119,219,310,1096,139,194,106
380,302,820,128,716,514,494,119,219,310,1096,139,194,119
381,302,820,128,716,514,494,119,219,310,1096,139,194,119
382,302,820,128,716,514,494,119,219,310,1096,139,194,119
383,302,820,128,716,514,494,119,219,310,1096,139,194,119
384,302,820,128,716,520,494,119,219,310,1096,139,194,119
385,302,820,128,716,520,494,119,219,310,1096,139,194,119
386,302,820,128,716,520,494,119,219,310,1096,139,194,119
387,302,820,128,716,520,494,119,219,310,1096,139,194,119
388,302,820,128,716,520,494,119,219,310,1096,139,194,119
389,302,820,128,716,520,494,119,219,310,1096,139,194,119
390,302,820,128,716,520,494,119,219,310,1096,139,194,119
391,302,820,128,716,520,494,119,219,310,1096,139,194,119
392,302,820,128,716,520,494,119,219,310,1096,139,194,119
393,302,820,128,716,520,494,119,219,310,1096,139,194,119
394,302,820,128,716,520,494,119,219,310,1096,139,194,119
395,302,820,128,716,520,494,119,219,310,1096,139,194,119
396,302,820,128,716,520,494,119,219,310,1096,139,194,106
397,302,820,128,716,520,494,119,219,310,1096,139,194,106
398,302,820,128,716,520,494,119,219,310,1096,139,194,106
399,302,820,128,716,520,494,119,219,310,1096,139,194,106
400,301,798,128,706,502,489,119,222,248,1013,157,194,106
401,301,798,128,706,502,489,119,222,263,1029,157,194,106
402,301,798,128,706,502,489,119,222,263,1029,157,194,106
403,301,798,128,706,502,489,119,222,263,1029,157,194,106
404,301,798,128,706,502,489,119,222,263,1045,157,194,119
405,301,798,128,706,502,489,119,222,263,1045,157,194,119
406,301,798,128,706,502,489,119,222,263,1045,157,194,119
407,301,798,128,706,502,489,119,222,263,1045,157,194,119
408,301,798,128,706,502,489,119,222,263,1045,157,194,119
409,301,798,128,706,502,489,119,222,263,1045,157,194,119
410,301,798,128,706,502,489,119,222,263,1045,157,194,119
411,301,798,128,706,502,489,119,222,263,1045,157,194,119
412,301,798,128,706,502,489,119,222,263,1045,157,194,119
413,301,798,128,706,502,489,119,222,263,1045,157,194,119
414,301,798,128,706,502,489,119,222,263,1045,157,194,119
